Name,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Current Total,CASH,CHARGE,GIFT CARD,STORE CREDIT,CHECK,Payment: Status,Order Fulfillment Status,Shipping: City,Transaction: Kind,Transaction: Processed At,,,
#80119,California State Tax,0.06,7.14,Shasta County Tax,0.0025,0.3,Shasta Co Local Tax Sl,0.01,1.19,8.63,0,,107.2,,,,,,paid,fulfilled,Susanville,capture,2026-01-05 15:54:30 -0800,,,
#80111,,,,,,,,,,0,6.5,,36.9,,,,,,paid,fulfilled,Columbia,capture,2026-01-05 15:55:50 -0800,,,
#80058,,,,,,,,,,0,0,,64,,,,,,paid,fulfilled,Glen,capture,2026-01-05 15:56:21 -0800,,,
#80044,,,,,,,,,,0,6.5,,27.45,,,,,,paid,fulfilled,Bemidji,capture,2026-01-05 15:56:48 -0800,,,
#80113,,,,,,,,,,0,0,,39,,,,,,paid,fulfilled,Vermilion,capture,2026-01-05 15:57:35 -0800,,,
#80089,,,,,,,,,,0,0,,206.35,,,,,,paid,fulfilled,Reno,capture,2026-01-05 15:57:54 -0800,,,
#80174,California State Tax,0.06,6.58,Shasta County Tax,0.0025,0.27,Shasta Co Local Tax Sl,0.01,1.1,7.95,0,,117.6,,,,,,paid,fulfilled,,capture,2026-01-05 16:08:11 -0800,,,
#80176,California State Tax,0.06,0.33,Shasta County Tax,0.0025,0.01,Shasta Co Local Tax Sl,0.01,0.06,0.4,0,,,,,,5.97,,paid,fulfilled,,sale,2026-01-05 16:17:46 -0800,,,
#80175,California State Tax,0.06,8.34,Shasta County Tax,0.0025,0.35,Shasta Co Local Tax Sl,0.01,1.39,10.08,0,,149.08,,,,,,paid,fulfilled,,capture,2026-01-05 16:22:11 -0800,,,
#80177,California State Tax,0.06,10.58,Shasta County Tax,0.0025,0.45,Shasta Co Local Tax Sl,0.01,1.76,13.47,0,,189.79,,,,,,paid,fulfilled,Folsom,sale,2026-01-05 16:22:32 -0800,,,
#80180,California State Tax,0.06,1.71,Shasta County Tax,0.0025,0.08,Shasta Co Local Tax Sl,0.01,0.3,2.09,0,,,30.76,,,,,paid,fulfilled,,sale,2026-01-05 16:59:56 -0800,,,
#80179,California State Tax,0.06,25.17,Shasta County Tax,0.0025,1.04,Shasta Co Local Tax Sl,0.01,4.22,30.43,0,,449.88,,,,,,paid,fulfilled,,capture,2026-01-05 17:09:37 -0800,,,
#80181,California State Tax,0.06,1.68,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.29,2.04,0,,29.96,,,,,,paid,fulfilled,,capture,2026-01-05 17:22:36 -0800,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,311.84000000000003,52,7.25,5667.87,157.94,,,5.97,20.93,,,,,,,,
